ad,neg_emo
"See why everyone is celebrating at Hoblit Dodge! We have shown the community since 1959 that Hoblit Dodge is the Only NO HASSLE, NO PRESSUREâ€¦Ever Dealer! Now Click and See all the great deals Hoblit has created for you this March.",0
Help give people without a home a chance to leave homelessness behind for good by taking on the,0
I am so proud of what this grassroots team has accomplished â€“ but weâ€™ve still got a lot more to do! Chip in today to keep our progress moving!,0
"We have until March 31st to raise money for our FINAL end-of-quarter goal before the primary election on June 7. Your donation counts now more than ever, so we can reach as many voters as possible before ballots go out in the mail.",0
Learn how to use the new staffing law to improve safety for patients and frontline healthcare professionals.,0
We have a huge fundraising deadline coming up on March 31 at midnight. Can you please make a contribution before our end-of-quarter deadline and help us take the lead in this race?,0
"Itâ€™s time for action. Elections are not won overnight. Winning in November starts with your support, right here and right now.",0
URGENT: the Supreme Court has allowed Texasâ€™ unprecedented abortion ban to stay in effect â€“ taking away many peopleâ€™s ability to access abortion across the state â€“ and seems poised to overturn or gut Roe v. Wade later this year.,1
"Get ahead and assess your Individual and/or Business Personal Property today- itâ€™s quick and easy. The deadline to assess your personal property without penalty is May 31, 2022.",0
Contact your Ohio state legislators today and urge them to pass HB 235.,0
Safe staffing is the LAW! Has your facility created a Staffing Committee yet? Join a town hall for nurses and direct caregivers to learn about a new law to help us advocate for our patients and practice.,0
"Imagine carrying a heavy jug of water home, knowing that after all your effort, it might make your family sick. Safe water at home gives women and their families time and health. Empower women with safe water and you can change their world.",1
"Individually, we're all responsible for our own thoughts and actions -
all day, every day.",0
"As a feature of Womenâ€™s Month 2022, Councillor Dianeli Aranda with the portfolio of Women, Youths and Children Affairs and the San Pedro Town Council in partner with Martin Dawson present Free Women's Self Defense Class on Thurs, March 24th, 2022 @ 6am next to Saca Chispas Field Infront of Water Terminal.
To join call Councillor Dianeli Aranda: 673-2199. Deadline to sign-up is Wed, March 23th at 4pm.",0
Hey everyone! We just turned 4 years old as a business last month! Pictured below are some of the nicer autographs/hits weâ€™ve pulled out of sports card boxes for our customers in the last 4 years! Youâ€™re going to want to read on also!,0
Tightrope walk between jobs and environment - how to balance it together as India's economy emerges out of the #Covid19 slowdown. A panel of experts finds solution,0
Branded and Non-Branded Clothing Stocks and Surplus 5 Pieces to 5000 Pieces We Supply Worldwide.,0
Hon. Mike Pence spoke at the World Summit 2022 on the possibilities of the reunification on the Korean peninsula. He was joined by other world leaders who share the beliefs on peace and prosperity for all.,0
2021 has been a record-breaking year for anti-abortion legislation â€” more than 100 abortion restrictions have been passed across the country. Itâ€™s more urgent now than ever that we defend our reproductive freedom. Join the fight to protect abortion access.,0
"Once the election is called, you'll only have SEVEN days to register to vote or to update your enrolment. If you are a first-time voter, head to www.aec.gov.au to register to vote or check your enrolment. And encourage your young friends and family to do the same, this is really important",0
Food & Water Action is fighting to end factory farming for good. Itâ€™s the only way to end animal cruelty and stop toxic pollution throughout our entire food system. But we need your help to take on Big Agriculture and win!,1
"Half-hearted reforms just arenâ€™t good enough. We DEMAND that Congress pass the Farm System Reform Act to BAN all new factory farms immediately. But weâ€™re 218 signatures short on our petition, and we still havenâ€™t heard from you! Please, will you sign our urgent petition before the deadline at 11:59 p.m.?",0
"This Earth Day comes after one of the hottest years EVER on record.
Climate change is intensifying faster than before. There is no planet B: Make an urgent gift to protect our future ",0
"URGENT: Polling shows that we need to keep our ads up to flip Ohio blue! The GOP has already spent $80 million to buy Ohioâ€™s open Senate seat. So, we just went up on TV earlier than expected. Iâ€™ll be honestâ€”this wasnâ€™t in the budget. So that means we run the risk of not being able to keep them on the air for long enough to make a difference. I need your help to have the resources to keep our ads up from now until Election Day. Can you rush $5 or $10 to my campaign so we can afford to keep the pedal to the floor?",0
Friday is North Carolinaâ€™s online voter registration deadline! Donâ€™t miss your chance to vote in the primary election. Register now!,0
Greedy corporations have turned our food system into a nightmare. Every day giant factory farms pump TOXIC pollution into our waterways and accelerate the climate crisis with tons of greenhouse gas emissions. We need 218 more signatures on our new petition to help BAN factory farming now! But your signature is still missing. Please add your name now before the midnight deadline,1
"In just a few days, my campaign will be legally required to report how much money weâ€™ve raised and how many people have contributed to our campaign. Our opponents and the press will be watching to see if we have the grassroots support it takes to win. Thatâ€™s why weâ€™re setting a bold goal of 3,000 grassroots donors before April 23rd, and we need your help.
",0
"We're about to hit our BIGGEST deadline yet, and right now, Brian Kemp has outraised us. Donate now to close the gap.",0
"We're about to hit our BIGGEST deadline yet, and we've set a $250,000 goal. Chip in now to stand up to Brian Kemp & the GOP.
",0
"ğğğ‹ğ˜ ğŸğŸ“ ğ‘ğ€ğ‘ğ„ ğ‘ğ„ğƒ ğ…ğğ—ğ„ğ’ ğ‘ğ„ğŒğ€ğˆğ | ğŸğŸ:ğŸ“ğŸ— ğ.ğŒ. ğƒğ„ğ€ğƒğ‹ğˆğğ„ ğ“ğ ğƒğ„ğŒğ€ğğƒ ğğ‘ğğ“ğ„ğ‚ğ“ğˆğğ. Sierra Nevada red foxes are among the rarest and most endangered subspecies of their kind â€“ and their population is now so small that if we do nothing, theyâ€™re basically condemned to extinction. Weâ€™re fighting to protect vulnerable species like the Sierra Nevada red fox, but we need your help before itâ€™s too late! We need 1,459 more signatures on our petition before midnight, but your name is still missing! Please, while we still have the chance to save a critical species: Add your name now to demand that the Department of the Interior protect the Endangered Species Act!",1
"Ukraine needs your support!
Any donation you provide helps save Ukraine and Ukrainians! it's time to support of peace and democracy",0
"On the 24 Feb, Ukrainians woke up to the sound of explosions. Russia has announced a full-scale war. From that time on, the lives of Ukrainians are in danger. Russian troops are bombing and shelling numerous Ukrainian cities, towns and villages right now. They destroy our homes, shell kindergarten and orphanages. Many people can't leave bomb shelters because of constant attacks, and women give birth right there. 
Now, the Ukrainian army fights back to defend our country. Men and women join the ranks of volunteers to protect their hometowns and loved ones. Civilians unite to help each other and counteract Russia's fake news. Now, we are strong and united! And now more than ever, we need your help! Support the Ukrainian army to defend Ukraine and the world's peace!",1
"The most senior figures in the political and security establishments will take part in this year's INSS annual conference.
Do not miss the year's most interesting event, with fascinating speeches and panels that you will certainly want to hear on everything happening in Israel and the region.
So without delay, sign up now for all the details and free registration! >>",0
"If you're a developer who wants to make a difference in our highly competitive world, this is how. Now is the time to raise your skills and become an awesome programmer.",0
Learn the greatest tips & tricks from the world's most brilliant minds. Uptime is here to help you become a better you. Learn more today.,0
"Committed to protecting our planet one journey at a time. Between 1990 and 2021 the number of miles driven on our roads increased by 29%. Swap your car for your bike for shorter journeys and help reduce greenhouse gasses that are stifling ourplanet.Itt is high time for a change, let the bicycles replace the cars on the road on World Car Free Day",0
"Every day, thousands of girls become child brides & are forced to say â€œI DOâ€
This #ValentinesDay, you can help them claim their right to say #IDONT.Join UNFPA to #EndChildMarriage and take action today  unf.pa/vday",1
"Over 170 families, schools and associations will be able to plant, harvest and consume organic vegetables, compost biodegradable waste and enjoy more time outdoors Check out the pictures",0
"9-year-old Danylo is not only battling cancer but trying to survive through the war in #Ukraine.
Fleeing his home twice, getting a blood transfusion in a bunker, having micro-surgery on his lung during the bombing and not knowing if he will get to Poland in time for his next chemotherapy â€“ none of it can take away Danylo's strength and determination.
â€œI am ready to fight for my life whether it is cancer or war.â€
Children like Danylo have no time to lose. They need peace. NOW.",0
"Many neglected diseases are also climate-sensitive. The worldâ€™s most vulnerable populations will once again bear the biggest burden. Itâ€™s time to develop safe, effective, and affordable treatments for the most neglected.",1
"The number of out-of-school children in South Africa tripled during the COVID-19 pandemic.
When classrooms are closed, students miss out on more than learning â€“ they miss out on nutritious food, time with friends and a safety net.",0
"Having won over 22 international awards, Birth Time: the documentary is now available to stream right here, anywhere, anytime.
Exploring what it would take for women to emerge from their births feeling innately powerful, physically well, and emotionally safe.
Itâ€™s time for womenâ€™s needs at birth to be heard. #ItsTime
",0
We are live with climate activist Anuna De Wever and member of the Parliament Niklas NienaÃŸ. Questions about climate and the road to COP26? Post them in the comments,0
"#Djibouti faces extreme water scarcity, exacerbated by population growth and #ClimateChange.
Pastoral communities are taking action to build climate resilience.",1
"Thereâ€™s no time left for promises. Climate change is already affecting us and getting worse. But one solution can help RIGHT NOW: protecting forests.
Thanks to you, with our partners we've worked to protect millions of acres of forests over the last 35 years. Help us do more.",1
"In times of conflict, itâ€™s imperative that we donâ€™t give up hope. And that we remember those who have faced violent challenges on a local and global stage and stood up for peace and equality.
Thatâ€™s why this week weâ€™re highlighting European Commission Peace Scholars who have fought for justice in their own way. We hope their stories will inspire hope during this time of increasing conflict around the world.
Starting with Achaleke Leke, and how he turned his experiences into a tool for supporting others.",0
"Did you miss the #T20 Summit? Relive the 3-day-long event and watch its Discussions, Panels and Keynotes again!",0
"Horror is unfolding in southern Madagascar; the world must not look away. If we donâ€™t act now, the number of people facing catastrophe will double. Will you donate to help save lives?",1
Want to have your voice heard in the EU? Parliament member Daniel Freund is explaining how you can take part in the Conference on the Future of Europe. Post your questions and comments now!,0
"If we don't act now, in less than three decades, the world's oceans will contain more discarded plastic than fish 
Between now and June 8, join the fight against marine plastic pollution and #RunForTheOceans.
For every kilometer you run, walk, or wheelchair and log in the adidas Running app, @adidas and @parley.tv will clean up the equivalent weight of 10 plastic bottles, up to 500,000 pounds, from beaches and islands.",0
"The answer is very simple: FEAR. Fear is always the one thing that stands between you and achieving your goals.
For those who want to become confident and naturally motivated, I opened up our new transformational experience: the 21-Day No Fear Challenge.",1
"PLEASE SIGNChina's horrific annual Yulin dog meat festival is happening NEXT MONTH. Thousands of dogs will be stolen, crammed into trucks, and driven for daysâ€”sick, hungry, and afraidâ€”only to then be brutally slaughtered for their meat.
SIGN and demand China END all dog and cat meat trade cruelty including the Yulin festival NOW.",1
Join our discussion on LGBTIQ rights and Parliamentâ€™s call to declare the EU an LGBTIQ Freedom Zone. Ask your questions to members Maria Walsh and Evin Incir below,0
"Battery Summit 2021 - FREE Online Conference
We invite everyone to discuss how batteries will promote competitive sustainability and why they are necessary for green transport, clean energy and to achieve climate neutrality by 2050",0
Did you register to vote in Georgia? You can vote in the Senate Runoff elections. But you must act now!,0
Watch the State of the European Union live with European Commission President Ursula von der Leyen at the European Parliament and the reactions from members #StrongerTogetherEU,0
"We must rebalance our relationship with nature to prevent future pandemics like COVID-19.
Weâ€™re calling for change.
Tell world leaders to ACT NOW",0
"Learn from St. Francis how every act in good faith uplifts and restores our world â€” and why itâ€™s never too late to resolve conflicts through meaningful acts of compassion, kindness, and courage.",0
"Dicover recent trends on cybersecurity in the EU from policy and regulatory perspective. The interview is about the EU leadership on cybersecurity, New Cybersecurity Strategy, the revision of the NIS Directive, the Digital Services Act, the post-COVID new digital world and the role of the EU.",0
" LIVE with Pascal Canfin, chair of the Parliamentâ€™s environment, public health and food safety committee. Questions on the European Green Deal and the green recovery plans? Ask them below and stay tuned!
",0
" This is not only a month of fasting and prayer, but a month of giving for the sake of Allah. The Prophet ï·º was always charitable, and he never refused anyone who asked him for help, but when Ramadan came, We are in urgent need of support! We're working to establish a Masjid and Dawah Center in ğŸ‡³ğŸ‡´ Norway, to spread knowledge about Islam, to give Dawah, and to strengthen the Iman of our youth.
ğƒğğ'ğ“ ğŒğˆğ’ğ’ ğğ”ğ“ - this month is the best time to give Sadaqah!
If ğ²ğ¨ğ® help us establish this Masjid, you will in sha get reward for all those who are:
The reward for all these deeds, and many more, can be added to ğ˜ğğ”ğ‘ scale on the Day of Resurrection, and all it takes is to help us establish this Masjid! ğƒğğâ€™ğ“ ğŒğˆğ’ğ’ ğğ”ğ“!
 Donate NOW  ",0
"ACT NOW: The world is watching in shock as the deadly coronavirus continues to spread. The exact origins are unknown but itâ€™s clear that the wildlife trade poses a dire threat to public health. Please, help reduce the spread of disease by urging all countries to permanently ban the wildlife trade.",1
Watch the discussion on global nutrition and food security. Read more: https://bit.ly/devexsponsored-care #sponsored #foodsecurity,0
To drop bombs on babies and expectant mothers is an act of cruelty for which there can be no justification.,1
"Thereâ€™s no time left for promises. Climate change is already affecting us and getting worse. But one solution can help RIGHT NOW: protecting forests.
Thanks to you, with our partners we've worked to protect millions of acres of forests over the last 35 years. Help us do more",1
"How are health and climate change connected? Watch our new video with Professor Gabrysch to find out more
Check out our website for more information on global health research in Germany 
",0
"How is compostable packaging helping brands and retailers choose better for end-consumers and the planet?
#BetterLivesThroughBetterBusiness",0
"The Nature Now Camp is a mix of presentations and practical workshops, where we deal with both facts, concerns, hope and action.",0
Watch French President Emmanuel Macron debate the priorities of Franceâ€™s six-month presidency of the Council of the EU with Parliament members,0
When was the last time you considered the environmental impact of your online shopping habits?,0
"A team of investigators from the Rush University Medical Center in Chicago, may now have found an effective way of shrink tumours by using inactivated flu vaccines.
Read the full article published by the Medical News Today",0
"In just three months time, they likely will be testing the first of a number of potential experimental vaccines against the new SARS-like coronavirus that is spreading in China and beyond.",0
The situation of women in Afghanistan has been deteriorating since the Taliban takeover. Parliament members have condemned Talibanâ€™s focus on erasing women from public life and denying their most fundamental rights and call on them to ensure access to education for all Afghan women and girls.,1
"Being in the classroom is not just about learning.
Out-of-school children are at greater risk of violence, abuse and exploitation.
After two years of COVID-19 disruptions, governments must urgently get every child back into education.",1
"Climate change and biodiversity loss are two sides of the same coin - and finally solutions are emerging to tackle them together. While in the past they have been dealt with as independent problems, new 'nature climate solutions' have emerged which aim to deal with both issues - reducing emissions while safeguarding ecosystems.
Now momentum is growing amongst investors to put money into the win-win solutions and help nature help the planet.
Read more about how they are helping reduce emissions in our bio link.",0
"Studies show that 98% of all children possess creative genius. Yet by the time they reach the age of 15, this number is reduced to just 12%. By the time we are adults, just 2% of us are still in touch with our innate genius potential.
Sarvaâ€™s mission is to preserve the creative genius of children into adulthood, connect cultures and foster diversity. This will result in a flourishing of creative solutions our world so desperately needs.
At Sarva, weâ€™re turning learners into leaders. Ready to lead successful lives, sustainable businesses and inclusive communities.
The future of education starts here.",0
"Climate change, the pandemic, and unsustainable building materials have greatly impacted the housing market, resulting in staggering house prices, increased homelessness, and a lack of community.
Thankfully, Geoship is here to change that. Our bioceramic domes are:
- Affordable
- Sustainable
- Community-Oriented
- Zero Carbon",0
Gain the essential mindset for the decade of climate action to stand out in the job market as a certified sustainability-driven leader.,0
"You can help rescue bears like Clara.
She was found in a tiny, dirty cage in a restaurant car park surrounded by piles of rubbish, noise and car fumes.
Clara had been suffering here for over a decade, likely ripped from her mother as a cub then trafficked into a horrendous life of constant bile extractions.
Thankfully she was rescued and brought home to our sanctuary in Vietnam. Clara is now safe and no one will ever hurt her again.
Will you donate today to bring every last bile bear home?",1
"URGENT: Help us, help them. 40,000 animals have arrived in Poland alongside two million refugees from the ongoing conflict. They were forced to flee their homes to survive. Our partner organisation TOZ - Society for the Prevention of Cruelty to Animals, are doing the impossible to provide immediate help but they are low on funds. These animals desperately need your help. Please donate today.",1
" This is an ğ—˜ğ— ğ—˜ğ—¥ğ—šğ—˜ğ—¡ğ—–ğ—¬.
 Please listen to the cries of the Ummah.
 ğŸ­ğŸ¬ ğ— ğ—œğ—Ÿğ—Ÿğ—œğ—¢ğ—¡ Afghans are living on the brink of ğ—™ğ—”ğ— ğ—œğ—¡ğ—˜.
 Millions rely solely on humanitarian aid to survive.
ğ—¢ğ—»ğ—² ğ—¨ğ—ºğ—ºğ—®ğ—µ are on the ground right now in and around ğ—”ğ—³ğ—´ğ—µğ—®ğ—»ğ—¶ğ˜€ğ˜ğ—®ğ—» providing ğ—˜ğ—ºğ—²ğ—¿ğ—´ğ—²ğ—»ğ—°ğ˜† ğ—”ğ—¶ğ—± to those who are most in need this Ramadan. Don't forget the multiplied rewards for saving lives and feeding the fasting!
ğƒğğğ€ğ“ğ„ ğğğ–",1
"YOU can make a difference this year. Donate NOW and for a limited time, your gift will have TRIPLE THE IMPACT to help millions of scared and abused animals who are suffering in silence, right now.
Your gift makes you a memberâ€”a valuable part of our mission to help animals who have no voice and need us the most. Will you help?",1
"STREAM NOW!
Having won over 22 international awards, Birth Time: the documentary is now available to stream right here, anywhere, anytime.
Exploring what it would take for women to emerge from their births feeling innately powerful, physically well, and emotionally safe.
Itâ€™s time for womenâ€™s needs at birth to be heard. #ItsTime",0
"Dear readers.
Russian Nazis do not stop exterminating the people of Ukraine.
Today, Russian Nazis shelled Kharkiv several times, including with banned cluster munitions for MLRS. It is known about 13 wounded and five dead, including children.
We ask you to write, call your politicians with a request to immediately increase and speed up the supply of weapons.
We are able to protect ourselves, and we will do it to the last breath.
Do not stand aside, help us protect our people.
",1
"Education risks becoming the greatest divider, not the greatest equalizer.
COVID-19 school closures have compounded challenges for children who were already behind â€” pushing learning even further out of reach.
They need support. Now.",0
"Shelling killed her mother.
Without an urgent end to war in #Ukraine, how many more innocent lives will be lost? How many more children wounded or traumatized?
Six-year-old Milana is recovering from surgery on her legs at a children's hospital in Kyiv after being injured in an attack. Thanks to dedicated doctors, her wounds will heal but the death of her mother will scar her for a lifetime.
As UNICEF delivers lifesaving medical supplies to hospitals across Ukraine, children need peace, now.
",1
"""I would like it all to end.""
Platon is distraught like many children after witnessing the horrors of war in #Ukraine.
As UNICEF ramps up support for children and their families fleeing violence amidst the COVID-19 pandemic, they need peace now.",1
"Thousands of children throughout the Land of Israel have been affected and traumatized by brutal terror attacks. The Shiloh Israel Childrenâ€™s Fund needs your help to provide cutting-edge therapies to heal children affected by terror.
Donate today to help the children of Israel.
",1
"A storm of conflict, climate, and COVID-19 is causing the worst hunger crisis in decades. Your monthly donation can help us reach children in crisis - wherever and whenever they need us.",1
"A perfect storm of conflict, climate, and COVID-19 has left countries on the brink of famine. At times like this, we need to act fast. Donate monthly to help us reach children in crisis - wherever and whenever they need us.",1
"Right now, millions of children are at risk of starvation - with 1 in 4 people worldwide unable to access the food they need. Donate monthly today to save lives.",1
"As the pandemic rages, some of the poorest countries are having to repay debts to private lenders and governments, rather than funding vital health and education services - a decision that could worsen economies and devastate childrenâ€™s futures. At the World Bank meeting in October, governments and companies have an opportunity to agree to debt relief. Now is the time to make your voice heard.",1
"Since our founding in 1919, weâ€™ve worked tirelessly to provide vulnerable children with lifesaving assistance, access to education, quality health care, and protection from exploitation.",0
"For 46 days, we offer you the opportunity to be active for the planet and those whoprotect it. It will start!",0
"Are you interested in environmental crime?
For all the latest news on this subject, subscribe to the Ambitus newsletter!
Each month, find a selection of articles on .The newsletter is only available in English at the moment ğŸ‡¬ğŸ‡§
",0
"3 weeks of this unnecessary brutal and horrendous times.
Showing that the biggest world leaders who could stop this war are incapable and just dragging their feet
Every dollar counts. If you have anything to spare, please donate.
Don't be like them, solidarity is more than just pretty word and standing ovations.",1
"WHY WOULD YOU DO THAT? It's true! Water wells won't defend the Ummah online!  If WE don't counteract the Islamophobic media industry then who will?
Enough talking Time for some action!
Allah (swt) says he won't change the condition of a people until they change what is within themselves!
Click the button or the link and donate now!",0
"Ukraine needs your support!
Any donation you provide helps save Ukraine and Ukrainians",0
"HELP ODESSA HELP UKRAINE
Your donations go directly to the dedicated suppliers authorized by the Ukranian Government.",0
"The Ukrainian troops are now engaged in fierce combats for our freedom. Our brave guys get wounded and die on the battlefield. The International Charity Organization ""DIM"" initiated the purchasing of tactical first-aid kits, which will help save many lives of our soldiers. The Fund is also actively buying personal protective equipment, sleeping bags, thermal underwear and other essentials for our army and territorial defense units.
You may also be a part of this life-saving process. Each and every penny collected by the Fund goes directly to the Ukrainian defenders. Support the Ukrainian defenders! Glory to Ukraine, Glory to the Heroes!",0
"147 orphans were able to successfully evacuate last week and are currently in Germany at a refugee center. There are still many children arriving at the borders, and many are unaccompanied minors. The systems in place in these border countries are quickly reaching their capacity to provide quality care.
Life is working around the clock to provide assistance to the families in need.
To help support the people and children of Ukraine, please visit",0
"Musicians in Ukraine need our help!
A few days ago we received the dramatic appeal of an orchestra from Ukraine. The musicians there are fighting for their lives, their country and their freedom! They urgently need our help.
We support Lisa Batiashvili and her foundation to provide essential supplies for the musicians and their families in Ukraine.",0
"UKRAINE: 850,000 people internally displaced and almost 3 million people in need of humanitarian aid.
Please donate today to help us support displaced families with critical aid.",0
"Within a matter of months, weâ€™ve grown from caring for 1,000 orphans to caring for 5,000 orphans â€“ Alhamdulillah!
By donating, you can make a difference to an orphaned childâ€™s life, by giving them opportunities for education and providing for basic life essentials.From as LITTLE as $50, you can make an IMMENSE difference to the lives of orphans around the world.contribute to our Orphan Support program today!",0
"Our goals is to be in public more. Visit children hospitals, into more schools
We are also working on getting a â€œSuperMobileâ€.
Help Superman bring awareness to bullying domestic violence abuse ptsd suicide and addictions
Help donate !!!",0
"Youâ€™ve given the mothers of Lebanonâ€™s Ketermaya camp another chance at survival but now they face a new threat: winter.
 donate essential supplies and sanitary products to the displaced women of Lebanon.",1
"URGENT - Save the lives of childhood cancer patients in Pakistan.
The childhood cancer survival rate in Pakistan is low, between 20-25%.
Indus Hospital & Health Network (IHHN) provides quality care, free of cost to those in need. One donation to Indus Hospital & Health Network can:
Save a life from cancer, Provide relief for worrying parents, Allow children to reclaim their childhood
Imagine. With just a few dollars, you can create positive change. Donate now.",1
"Holidays are about caring! Would you like to give your loved ones the most meaningful gift: UBI? Donate us to support making Universal Basic Income a reality for all.
Rather than wait for someone else, we can build our own economic systems to support each other, and, in effect, give each other a basic income. Circles is intended to be a new kind of exchange, completely different from any kind of money in use today. It comes unconditionally, and grows in value based on communities.
We need your support to make Circles basic income a reality! Donate now to help us create UBI for all!",0
"Sometimes the news can feel overwhelming - but there is something you can do to help. This Giving Week, help make good news for refugee and displaced families who are facing freezing conditions during the winter.",1
"Today is #GivingTuesday. There is no greater gift than the gift of health!
We see how healthcare in low-income countries is under even more pressure due to the current pandemic. More than ever, well-trained health professionals are needed. With KIT Scholarship Fund we support health professionals to study a Master programme in international or public health. By training health professionals at KIT, we can help reduce the shortage of health workers in low-income countries and enable these professionals to make a difference in their own country. Local professionals know best which approaches work in the context of their own country, allowing everyone to get access to good quality healthcare.
We would like to contribute even more by training more people, but this is only possible with your support.

If you would like to support a student in their strive for the tangible betterment of global health please visit",0
"This Giving Tuesday, please watch this video and consider supporting the important work undertaken by The Maa Trust. All of these activities are only possible thanks to the generosity of our supporters. Every little helps and we are especially grateful to the regular monthly and annual supporters. For those interested in supporting a needy child through the scholarship programme, please contact",0
" BREAKING: Moments before being brutally killed for their meat, more than 50 starving, terrified dogs have been rescued during a raid of an illegal slaughterhouse in Indonesia.
The dogs are in desperate need of medical care, food and water after being stuffed in sacks on a transport truck for days with their mouths tightly bound shut.
Please rush a donation to help these dogs and fund our lifesaving work for animals all over the world in need of rescue and protection.",1
"THIS IS A CALL FOR ACTION! No Dogs Left Behind needs YOU! We NEED your support now. Every penny counts. One dollar makes a difference.
We NEED you to DONATE NOW!",0
"DONATE TO INCARCERATED MUSLIMS
We receive numerous requests from incarcerated Muslims asking for kufis, Islamic books, and other religious materials so that they may peacefully practice their faith behind bars. Unfortunately, they are a neglected community. We at ICNA CSJ are doing our utmost to support our brothers and sisters behind bars.
Will you help us meet the need?",1
People are suffering from severe hunger; we urgently need more donations. Will you donate to help save lives?,1
"As Gaza is under attack again, its one million children are the main victims, suffering physical and psychological trauma. For 30 years, PCRF has been on the ground providing direct humanitarian aid and caring for tens of thousands of Gaza's children through treatment abroad, sponsorship, humanitarian program and projects, medical missions, and building Gaza's first and only pediatric cancer department. Our Gaza orphan sponsorship program provides food and clothing for hundreds of kids who lost parents to war and disease.
Donate to our Urgent Gaza Relief Fund below.",1
"Hundreds have been killed and scores more inflicted with life changing injuries. Homes have been destroyed and families torn apart in heart breaking fashion. Life here has never been more difficult.
Our team and partner are on the ground providing critical support to those left homeless and in emergency shelters.
Please donate whatever you can today.",1
"Gaza is crying out for help....
Hundreds have been killed and scores more inflicted with life changing injuries. Homes have been destroyed and families torn apart in heart breaking fashion. Life here has never been more difficult.
Our team and partner are on the ground providing critical support to those left homeless and in emergency shelters.
This project is Zakat eligible. Please donate whatever you can today.
",1
"President Toomas Hendrik Ilves is the Honourary Chair of the KESKUS International Estonian Centre Capital Campaign. Please join him in supporting a home for Estonians worldwide. To donate, please visit",0
"Blood donation saves lives!
This cannot be said enough times.
If you can, please donate blood and share this story to raise awareness.",0
"Over 10,000 Palestinians have been forced left their homes in Gaza.
It has left 97% of water in Gaza undrinkable, leaves homes, clinics, and schools with power cuts of up to 20 hours.
35% of Gazaâ€™s most fertile land and 85% of its fishing waters are inaccessible because of the blockade.
Water is scarce, and when itâ€™s available itâ€™s polluted, and farmers have had to abandon many popular crops which require large amounts of clean water.
Our partners and our team are on the ground in the Gaza Strip delivering food, water, and life saving aid RIGHT NOW.",1
"Palestine Emergency Appeal: 53 Palestinians, including 14 children, have been killed by Israeli air strikes.
We have released emergency funding to provide the drugs and medical disposables desperately needed by Palestinian hospitals and emergency services in Gaza and East Jerusalem.
Donate to help ensure hospitals have the medical resources they need.",1
"Let's build Cameroon. Wake up Cameroonians and friends of Cameroon! It is time to build our nation together. Let us make our desire and dream to become real; for us, our children, and the next generation to come. Letâ€™s this country shine. Get InvolvedDonate For NOSO 23% funded Hey! We've rai.",0
"We know how challenging it can be to find the money and time for school. That's why we made it our mission to open the gates to higher education by eliminating barriers with a tuition-free, flexible online university.",0