,ad,scarcity,predictions
114,"this is a call for action no dogs left behind needs you we need your support now every penny counts one dollar makes a difference
we need you to donate now",0,1
36,committed to protecting our planet one journey at a time between 1990 and 2021 the number of miles driven on our roads increased by 29 swap your car for your bike for shorter journeys and help reduce greenhouse gasses that are stifling ourplanetitt is high time for a change let the bicycles replace the cars on the road on world car free day,1,1
77,"climate change the pandemic and unsustainable building materials have greatly impacted the housing market resulting in staggering house prices increased homelessness and a lack of community
thankfully geoship is here to change that our bioceramic domes are
 affordable
 sustainable
 communityoriented
 zero carbon",0,0
83,"stream now
having won over 22 international awards birth time the documentary is now available to stream right here anywhere anytime
exploring what it would take for women to emerge from their births feeling innately powerful physically well and emotionally safe
itâ€™s time for womenâ€™s needs at birth to be heard itstime",1,1
41,"the number of outofschool children in south africa tripled during the covid19 pandemic
when classrooms are closed students miss out on more than learning â€“ they miss out on nutritious food time with friends and a safety net",1,1
26,greedy corporations have turned our food system into a nightmare every day giant factory farms pump toxic pollution into our waterways and accelerate the climate crisis with tons of greenhouse gas emissions we need 218 more signatures on our new petition to help ban factory farming now but your signature is still missing please add your name now before the midnight deadline,1,1
6,itâ€™s time for action elections are not won overnight winning in november starts with your support right here and right now,1,1
89,"thousands of children throughout the land of israel have been affected and traumatized by brutal terror attacks the shiloh israel childrenâ€™s fund needs your help to provide cuttingedge therapies to heal children affected by terror
donate today to help the children of israel",1,0
33,"the most senior figures in the political and security establishments will take part in this year is inss annual conference
do not miss the year is most interesting event with fascinating speeches and panels that you will certainly want to hear on everything happening in israel and the region
so without delay sign up now for all the details and free registration ",1,1
63,watch the discussion on global nutrition and food security read more httpsbitlydevexsponsoredcare sponsored foodsecurity,1,0
101,"the ukrainian troops are now engaged in fierce combats for our freedom our brave guys get wounded and die on the battlefield the international charity organization dim initiated the purchasing of tactical firstaid kits which will help save many lives of our soldiers the fund is also actively buying personal protective equipment sleeping bags thermal underwear and other essentials for our army and territorial defense units
you may also be a part of this lifesaving process each and every penny collected by the fund goes directly to the ukrainian defenders support the ukrainian defenders glory to ukraine glory to the heroes",0,0
16,tightrope walk between jobs and environment  how to balance it together as india is economy emerges out of the covid19 slowdown a panel of experts finds solution,0,0
23,"this earth day comes after one of the hottest years ever on record
climate change is intensifying faster than before there is no planet b make an urgent gift to protect our future",1,1
82,"you can make a difference this year donate now and for a limited time your gift will have triple the impact to help millions of scared and abused animals who are suffering in silence right now
your gift makes you a memberâ€”a valuable part of our mission to help animals who have no voice and need us the most will you help",1,1
1,help give people without a home a chance to leave homelessness behind for good by taking on the,0,0
12,imagine carrying a heavy jug of water home knowing that after all your effort it might make your family sick safe water at home gives women and their families time and health empower women with safe water and you can change their world,0,0
80,urgent help us help them 40000 animals have arrived in poland alongside two million refugees from the ongoing conflict they were forced to flee their homes to survive our partner organisation toz  society for the prevention of cruelty to animals are doing the impossible to provide immediate help but they are low on funds these animals desperately need your help please donate today,0,1
110,sometimes the news can feel overwhelming  but there is something you can do to help this giving week help make good news for refugee and displaced families who are facing freezing conditions during the winter,1,0
17,branded and nonbranded clothing stocks and surplus 5 pieces to 5000 pieces we supply worldwide,0,0
66,"how are health and climate change connected watch our new video with professor gabrysch to find out more
check out our website for more information on global health research in germany",1,0
121,"blood donation saves lives
this cannot be said enough times
if you can please donate blood and share this story to raise awareness",1,0
56,watch the state of the european union live with european commission president ursula von der leyen at the european parliament and the reactions from members strongertogethereu,1,0
3,we have until march 31st to raise money for our final endofquarter goal before the primary election on june 7 your donation counts now more than ever so we can reach as many voters as possible before ballots go out in the mail,1,1
44,"djibouti faces extreme water scarcity exacerbated by population growth and climatechange
pastoral communities are taking action to build climate resilience",0,0
78,gain the essential mindset for the decade of climate action to stand out in the job market as a certified sustainabilitydriven leader,0,0
20,once the election is called youll only have seven days to register to vote or to update your enrolment if you are a firsttime voter head to wwwaecgovau to register to vote or check your enrolment and encourage your young friends and family to do the same this is really important,1,0
9,contact your ohio state legislators today and urge them to pass hb 235,1,1
60,live with pascal canfin chair of the parliamentâ€™s environment public health and food safety committee questions on the european green deal and the green recovery plans ask them below and stay tuned,0,0
48,horror is unfolding in southern madagascar the world must not look away if we donâ€™t act now the number of people facing catastrophe will double will you donate to help save lives,0,1
28,we are about to hit our biggest deadline yet and right now brian kemp has outraised us donate now to close the gap,1,1
54,"battery summit 2021  free online conference
we invite everyone to discuss how batteries will promote competitive sustainability and why they are necessary for green transport clean energy and to achieve climate neutrality by 2050",0,0
87,"shelling killed her mother
without an urgent end to war in ukraine how many more innocent lives will be lost how many more children wounded or traumatized
sixyearold milana is recovering from surgery on her legs at a children is hospital in kyiv after being injured in an attack thanks to dedicated doctors her wounds will heal but the death of her mother will scar her for a lifetime
as unicef delivers lifesaving medical supplies to hospitals across ukraine children need peace now",0,1
39,"9yearold danylo is not only battling cancer but trying to survive through the war in ukraine
fleeing his home twice getting a blood transfusion in a bunker having microsurgery on his lung during the bombing and not knowing if he will get to poland in time for his next chemotherapy â€“ none of it can take away danylo is strength and determination
â€œi am ready to fight for my life whether it is cancer or warâ€
children like danylo have no time to lose they need peace now",0,1
18,hon mike pence spoke at the world summit 2022 on the possibilities of the reunification on the korean peninsula he was joined by other world leaders who share the beliefs on peace and prosperity for all,0,0
100,"help odessa help ukraine
your donations go directly to the dedicated suppliers authorized by the ukranian government",1,0
68,the nature now camp is a mix of presentations and practical workshops where we deal with both facts concerns hope and action,0,0
105,"within a matter of months weâ€™ve grown from caring for 1000 orphans to caring for 5000 orphans â€“ alhamdulillah
by donating you can make a difference to an orphaned childâ€™s life by giving them opportunities for education and providing for basic life essentialsfrom as little as 50 you can make an immense difference to the lives of orphans around the worldcontribute to our orphan support program today",1,0
104,"ukraine 850000 people internally displaced and almost 3 million people in need of humanitarian aid
please donate today to help us support displaced families with critical aid",0,1
29,we are about to hit our biggest deadline yet and weve set a 250000 goal chip in now to stand up to brian kemp  the gop,1,1
31,"ukraine needs your support
any donation you provide helps save ukraine and ukrainians it is time to support of peace and democracy",1,1
5,we have a huge fundraising deadline coming up on march 31 at midnight can you please make a contribution before our endofquarter deadline and help us take the lead in this race,1,1
97,"3 weeks of this unnecessary brutal and horrendous times
showing that the biggest world leaders who could stop this war are incapable and just dragging their feet
every dollar counts if you have anything to spare please donate
do not be like them solidarity is more than just pretty word and standing ovations",0,0
94,since our founding in 1919 weâ€™ve worked tirelessly to provide vulnerable children with lifesaving assistance access to education quality health care and protection from exploitation,1,0
86,"education risks becoming the greatest divider not the greatest equalizer
covid19 school closures have compounded challenges for children who were already behind â€” pushing learning even further out of reach
they need support now",1,0
37,"every day thousands of girls become child brides  are forced to say â€œi doâ€
this valentinesday you can help them claim their right to say idontjoin unfpa to endchildmarriage and take action today  unfpavday",1,0
40,many neglected diseases are also climatesensitive the worldâ€™s most vulnerable populations will once again bear the biggest burden itâ€™s time to develop safe effective and affordable treatments for the most neglected,1,0
19,2021 has been a recordbreaking year for antiabortion legislation â€” more than 100 abortion restrictions have been passed across the country itâ€™s more urgent now than ever that we defend our reproductive freedom join the fight to protect abortion access,1,1
96,"are you interested in environmental crime
for all the latest news on this subject subscribe to the ambitus newsletter
each month find a selection of articles on the newsletter is only available in english at the moment ğŸ‡¬ğŸ‡§",0,0
123,"palestine emergency appeal 53 palestinians including 14 children have been killed by israeli air strikes
we have released emergency funding to provide the drugs and medical disposables desperately needed by palestinian hospitals and emergency services in gaza and east jerusalem
donate to help ensure hospitals have the medical resources they need",0,1
99,"ukraine needs your support
any donation you provide helps save ukraine and ukrainians",0,0
25,friday is north carolinaâ€™s online voter registration deadline donâ€™t miss your chance to vote in the primary election register now,0,1
109,"holidays are about caring would you like to give your loved ones the most meaningful gift ubi donate us to support making universal basic income a reality for all
rather than wait for someone else we can build our own economic systems to support each other and in effect give each other a basic income circles is intended to be a new kind of exchange completely different from any kind of money in use today it comes unconditionally and grows in value based on communities
we need your support to make circles basic income a reality donate now to help us create ubi for all",0,1
15,hey everyone we just turned 4 years old as a business last month pictured below are some of the nicer autographshits weâ€™ve pulled out of sports card boxes for our customers in the last 4 years youâ€™re going to want to read on also,0,0
55,did you register to vote in georgia you can vote in the senate runoff elections but you must act now,0,1
38,over 170 families schools and associations will be able to plant harvest and consume organic vegetables compost biodegradable waste and enjoy more time outdoors check out the pictures,1,1
65,"thereâ€™s no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners weve worked to protect millions of acres of forests over the last 35 years help us do more",0,1
50,"if we do not act now in less than three decades the world is oceans will contain more discarded plastic than fish 
between now and june 8 join the fight against marine plastic pollution and runfortheoceans
for every kilometer you run walk or wheelchair and log in the adidas running app adidas and parleytv will clean up the equivalent weight of 10 plastic bottles up to 500000 pounds from beaches and islands",1,1
52,"please signchina is horrific annual yulin dog meat festival is happening next month thousands of dogs will be stolen crammed into trucks and driven for daysâ€”sick hungry and afraidâ€”only to then be brutally slaughtered for their meat
sign and demand china end all dog and cat meat trade cruelty including the yulin festival now",0,1
118,"hundreds have been killed and scores more inflicted with life changing injuries homes have been destroyed and families torn apart in heart breaking fashion life here has never been more difficult
our team and partner are on the ground providing critical support to those left homeless and in emergency shelters
please donate whatever you can today",1,1
62,act now the world is watching in shock as the deadly coronavirus continues to spread the exact origins are unknown but itâ€™s clear that the wildlife trade poses a dire threat to public health please help reduce the spread of disease by urging all countries to permanently ban the wildlife trade,1,1
75,"climate change and biodiversity loss are two sides of the same coin  and finally solutions are emerging to tackle them together while in the past they have been dealt with as independent problems new nature climate solutions have emerged which aim to deal with both issues  reducing emissions while safeguarding ecosystems
now momentum is growing amongst investors to put money into the winwin solutions and help nature help the planet
read more about how they are helping reduce emissions in our bio link",0,0
72,in just three months time they likely will be testing the first of a number of potential experimental vaccines against the new sarslike coronavirus that is spreading in china and beyond,0,1
111,"today is givingtuesday there is no greater gift than the gift of health
we see how healthcare in lowincome countries is under even more pressure due to the current pandemic more than ever welltrained health professionals are needed with kit scholarship fund we support health professionals to study a master programme in international or public health by training health professionals at kit we can help reduce the shortage of health workers in lowincome countries and enable these professionals to make a difference in their own country local professionals know best which approaches work in the context of their own country allowing everyone to get access to good quality healthcare
we would like to contribute even more by training more people but this is only possible with your support

if you would like to support a student in their strive for the tangible betterment of global health please visit",1,1
24,urgent polling shows that we need to keep our ads up to flip ohio blue the gop has already spent 80 million to buy ohioâ€™s open senate seat so we just went up on tv earlier than expected iâ€™ll be honestâ€”this wasnâ€™t in the budget so that means we run the risk of not being able to keep them on the air for long enough to make a difference i need your help to have the resources to keep our ads up from now until election day can you rush 5 or 10 to my campaign so we can afford to keep the pedal to the floor,1,1
88,"i would like it all to end
platon is distraught like many children after witnessing the horrors of war in ukraine
as unicef ramps up support for children and their families fleeing violence amidst the covid19 pandemic they need peace now",1,0
74,"being in the classroom is not just about learning
outofschool children are at greater risk of violence abuse and exploitation
after two years of covid19 disruptions governments must urgently get every child back into education",0,1
59,dicover recent trends on cybersecurity in the eu from policy and regulatory perspective the interview is about the eu leadership on cybersecurity new cybersecurity strategy the revision of the nis directive the digital services act the postcovid new digital world and the role of the eu,0,1
79,"you can help rescue bears like clara
she was found in a tiny dirty cage in a restaurant car park surrounded by piles of rubbish noise and car fumes
clara had been suffering here for over a decade likely ripped from her mother as a cub then trafficked into a horrendous life of constant bile extractions
thankfully she was rescued and brought home to our sanctuary in vietnam clara is now safe and no one will ever hurt her again
will you donate today to bring every last bile bear home",0,0
98,"why would you do that it is true water wells would not defend the ummah online  if we do not counteract the islamophobic media industry then who will
enough talking time for some action
allah swt says he would not change the condition of a people until they change what is within themselves
click the button or the link and donate now",0,1
125,we know how challenging it can be to find the money and time for school that is why we made it our mission to open the gates to higher education by eliminating barriers with a tuitionfree flexible online university,1,1
8,get ahead and assess your individual andor business personal property today itâ€™s quick and easy the deadline to assess your personal property without penalty is may 31 2022,1,1
51,"the answer is very simple fear fear is always the one thing that stands between you and achieving your goals
for those who want to become confident and naturally motivated i opened up our new transformational experience the 21day no fear challenge",1,0
102,"147 orphans were able to successfully evacuate last week and are currently in germany at a refugee center there are still many children arriving at the borders and many are unaccompanied minors the systems in place in these border countries are quickly reaching their capacity to provide quality care
life is working around the clock to provide assistance to the families in need
to help support the people and children of ukraine please visit",0,0
11,safe staffing is the law has your facility created a staffing committee yet join a town hall for nurses and direct caregivers to learn about a new law to help us advocate for our patients and practice,0,0
4,learn how to use the new staffing law to improve safety for patients and frontline healthcare professionals,0,0
2,i am so proud of what this grassroots team has accomplished â€“ but weâ€™ve still got a lot more to do chip in today to keep our progress moving,0,0
90,a storm of conflict climate and covid19 is causing the worst hunger crisis in decades your monthly donation can help us reach children in crisis  wherever and whenever they need us,1,0
14,"as a feature of womenâ€™s month 2022 councillor dianeli aranda with the portfolio of women youths and children affairs and the san pedro town council in partner with martin dawson present free women is self defense class on thurs march 24th 2022  6am next to saca chispas field infront of water terminal
to join call councillor dianeli aranda 6732199 deadline to signup is wed march 23th at 4pm",1,1
13,"individually we are all responsible for our own thoughts and actions 
all day every day",0,0
73,the situation of women in afghanistan has been deteriorating since the taliban takeover parliament members have condemned talibanâ€™s focus on erasing women from public life and denying their most fundamental rights and call on them to ensure access to education for all afghan women and girls,0,0
21,food  water action is fighting to end factory farming for good itâ€™s the only way to end animal cruelty and stop toxic pollution throughout our entire food system but we need your help to take on big agriculture and win,0,0
42,"having won over 22 international awards birth time the documentary is now available to stream right here anywhere anytime
exploring what it would take for women to emerge from their births feeling innately powerful physically well and emotionally safe
itâ€™s time for womenâ€™s needs at birth to be heard itstime",0,1
34,if youre a developer who wants to make a difference in our highly competitive world this is how now is the time to raise your skills and become an awesome programmer,1,1
43,we are live with climate activist anuna de wever and member of the parliament niklas nienaÃŸ questions about climate and the road to cop26 post them in the comments,1,0
70,when was the last time you considered the environmental impact of your online shopping habits,0,1
85,this is how strongly i felt about this i am not palestinian and none in my family i wrote this today because i feel it especially being an afghan our flags not only share the same colors but also the same turmoil our people suffering at the hands of the same devil just different faces i stand with palestine,1,0
93,as the pandemic rages some of the poorest countries are having to repay debts to private lenders and governments rather than funding vital health and education services  a decision that could worsen economies and devastate childrenâ€™s futures at the world bank meeting in october governments and companies have an opportunity to agree to debt relief now is the time to make your voice heard,1,1
69,watch french president emmanuel macron debate the priorities of franceâ€™s sixmonth presidency of the council of the eu with parliament members,0,0
116,people are suffering from severe hunger we urgently need more donations will you donate to help save lives,1,1
49,want to have your voice heard in the eu parliament member daniel freund is explaining how you can take part in the conference on the future of europe post your questions and comments now,1,0
57,"we must rebalance our relationship with nature to prevent future pandemics like covid19
weâ€™re calling for change
tell world leaders to act now",0,1
119,"gaza is crying out for help
hundreds have been killed and scores more inflicted with life changing injuries homes have been destroyed and families torn apart in heart breaking fashion life here has never been more difficult
our team and partner are on the ground providing critical support to those left homeless and in emergency shelters
this project is zakat eligible please donate whatever you can today",1,1
81,"this is an ğ—˜ğ— ğ—˜ğ—¥ğ—šğ—˜ğ—¡ğ—–ğ—¬
 please listen to the cries of the ummah
 ğŸ­ğŸ¬ ğ— ğ—œğ—Ÿğ—Ÿğ—œğ—¢ğ—¡ afghans are living on the brink of ğ—™ğ—”ğ— ğ—œğ—¡ğ—˜
 millions rely solely on humanitarian aid to survive
ğ—¢ğ—»ğ—² ğ—¨ğ—ºğ—ºğ—®ğ—µ are on the ground right now in and around ğ—”ğ—³ğ—´ğ—µğ—®ğ—»ğ—¶ğ˜€ğ˜ğ—®ğ—» providing ğ—˜ğ—ºğ—²ğ—¿ğ—´ğ—²ğ—»ğ—°ğ˜† ğ—”ğ—¶ğ—± to those who are most in need this ramadan do not forget the multiplied rewards for saving lives and feeding the fasting
ğƒğğğ€ğ“ğ„ ğğğ–",1,1
30,ğğğ‹ğ˜ ğŸğŸ“ ğ‘ğ€ğ‘ğ„ ğ‘ğ„ğƒ ğ…ğğ—ğ„ğ’ ğ‘ğ„ğŒğ€ğˆğ  ğŸğŸğŸ“ğŸ— ğğŒ ğƒğ„ğ€ğƒğ‹ğˆğğ„ ğ“ğ ğƒğ„ğŒğ€ğğƒ ğğ‘ğğ“ğ„ğ‚ğ“ğˆğğ sierra nevada red foxes are among the rarest and most endangered subspecies of their kind â€“ and their population is now so small that if we do nothing theyâ€™re basically condemned to extinction weâ€™re fighting to protect vulnerable species like the sierra nevada red fox but we need your help before itâ€™s too late we need 1459 more signatures on our petition before midnight but your name is still missing please while we still have the chance to save a critical species add your name now to demand that the department of the interior protect the endangered species act,1,1
47,did you miss the t20 summit relive the 3daylong event and watch its discussions panels and keynotes again,0,1
7,urgent the supreme court has allowed texasâ€™ unprecedented abortion ban to stay in effect â€“ taking away many peopleâ€™s ability to access abortion across the state â€“ and seems poised to overturn or gut roe v wade later this year,1,1
76,"studies show that 98 of all children possess creative genius yet by the time they reach the age of 15 this number is reduced to just 12 by the time we are adults just 2 of us are still in touch with our innate genius potential
sarvaâ€™s mission is to preserve the creative genius of children into adulthood connect cultures and foster diversity this will result in a flourishing of creative solutions our world so desperately needs
at sarva weâ€™re turning learners into leaders ready to lead successful lives sustainable businesses and inclusive communities
the future of education starts here",1,1
106,"our goals is to be in public more visit children hospitals into more schools
we are also working on getting a â€œsupermobileâ€
help superman bring awareness to bullying domestic violence abuse ptsd suicide and addictions
help donate ",1,0
27,in just a few days my campaign will be legally required to report how much money weâ€™ve raised and how many people have contributed to our campaign our opponents and the press will be watching to see if we have the grassroots support it takes to win thatâ€™s why weâ€™re setting a bold goal of 3000 grassroots donors before april 23rd and we need your help,1,0
103,"musicians in ukraine need our help
a few days ago we received the dramatic appeal of an orchestra from ukraine the musicians there are fighting for their lives their country and their freedom they urgently need our help
we support lisa batiashvili and her foundation to provide essential supplies for the musicians and their families in ukraine",0,1
108,"urgent  save the lives of childhood cancer patients in pakistan
the childhood cancer survival rate in pakistan is low between 2025
indus hospital  health network ihhn provides quality care free of cost to those in need one donation to indus hospital  health network can
save a life from cancer provide relief for worrying parents allow children to reclaim their childhood
imagine with just a few dollars you can create positive change donate now",0,1
92,right now millions of children are at risk of starvation  with 1 in 4 people worldwide unable to access the food they need donate monthly today to save lives,0,0
84,"dear readers
russian nazis do not stop exterminating the people of ukraine
today russian nazis shelled kharkiv several times including with banned cluster munitions for mlrs it is known about 13 wounded and five dead including children
we ask you to write call your politicians with a request to immediately increase and speed up the supply of weapons
we are able to protect ourselves and we will do it to the last breath
do not stand aside help us protect our people",1,1
67,"how is compostable packaging helping brands and retailers choose better for endconsumers and the planet
betterlivesthroughbetterbusiness",0,0
10,sold 210322 3days rose called on friday morning nathan i am moving to america tonight and a friend tells me you can sell my car it needs to be sold by next friday before my insurance expires challenge accepted absolutely love your word of mouth,1,1
58,learn from st francis how every act in good faith uplifts and restores our world â€” and why itâ€™s never too late to resolve conflicts through meaningful acts of compassion kindness and courage,1,1
107,"youâ€™ve given the mothers of lebanonâ€™s ketermaya camp another chance at survival but now they face a new threat winter
 donate essential supplies and sanitary products to the displaced women of lebanon",1,0
120,president toomas hendrik ilves is the honourary chair of the keskus international estonian centre capital campaign please join him in supporting a home for estonians worldwide to donate please visit,1,0
124,let is build cameroon wake up cameroonians and friends of cameroon it is time to build our nation together let us make our desire and dream to become real for us our children and the next generation to come letâ€™s this country shine get involveddonate for noso 23 funded hey weve rai,0,1
91,a perfect storm of conflict climate and covid19 has left countries on the brink of famine at times like this we need to act fast donate monthly to help us reach children in crisis  wherever and whenever they need us,1,0
32,"on the 24 feb ukrainians woke up to the sound of explosions russia has announced a fullscale war from that time on the lives of ukrainians are in danger russian troops are bombing and shelling numerous ukrainian cities towns and villages right now they destroy our homes shell kindergarten and orphanages many people cant leave bomb shelters because of constant attacks and women give birth right there 
now the ukrainian army fights back to defend our country men and women join the ranks of volunteers to protect their hometowns and loved ones civilians unite to help each other and counteract russia is fake news now we are strong and united and now more than ever we need your help support the ukrainian army to defend ukraine and the world is peace",1,1
71,"a team of investigators from the rush university medical center in chicago may now have found an effective way of shrink tumours by using inactivated flu vaccines
read the full article published by the medical news today",0,0
0,see why everyone is celebrating at hoblit dodge we have shown the community since 1959 that hoblit dodge is the only no hassle no pressureâ€¦ever dealer now click and see all the great deals hoblit has created for you this march,0,0
115,"donate to incarcerated muslims
we receive numerous requests from incarcerated muslims asking for kufis islamic books and other religious materials so that they may peacefully practice their faith behind bars unfortunately they are a neglected community we at icna csj are doing our utmost to support our brothers and sisters behind bars
will you help us meet the need",1,0
95,for 46 days we offer you the opportunity to be active for the planet and those whoprotect it it will start,1,1
64,to drop bombs on babies and expectant mothers is an act of cruelty for which there can be no justification,0,1
22,halfhearted reforms just arenâ€™t good enough we demand that congress pass the farm system reform act to ban all new factory farms immediately but weâ€™re 218 signatures short on our petition and we still havenâ€™t heard from you please will you sign our urgent petition before the deadline at 1159 pm,1,1
45,"thereâ€™s no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners weve worked to protect millions of acres of forests over the last 35 years help us do more",0,1
35,learn the greatest tips  tricks from the world is most brilliant minds uptime is here to help you become a better you learn more today,1,0
117,"as gaza is under attack again its one million children are the main victims suffering physical and psychological trauma for 30 years pcrf has been on the ground providing direct humanitarian aid and caring for tens of thousands of gaza is children through treatment abroad sponsorship humanitarian program and projects medical missions and building gaza is first and only pediatric cancer department our gaza orphan sponsorship program provides food and clothing for hundreds of kids who lost parents to war and disease
donate to our urgent gaza relief fund below",0,1
53,join our discussion on lgbtiq rights and parliamentâ€™s call to declare the eu an lgbtiq freedom zone ask your questions to members maria walsh and evin incir below,1,0
122,"over 10000 palestinians have been forced left their homes in gaza
it has left 97 of water in gaza undrinkable leaves homes clinics and schools with power cuts of up to 20 hours
35 of gazaâ€™s most fertile land and 85 of its fishing waters are inaccessible because of the blockade
water is scarce and when itâ€™s available itâ€™s polluted and farmers have had to abandon many popular crops which require large amounts of clean water
our partners and our team are on the ground in the gaza strip delivering food water and life saving aid right now",1,1
113,"breaking moments before being brutally killed for their meat more than 50 starving terrified dogs have been rescued during a raid of an illegal slaughterhouse in indonesia
the dogs are in desperate need of medical care food and water after being stuffed in sacks on a transport truck for days with their mouths tightly bound shut
please rush a donation to help these dogs and fund our lifesaving work for animals all over the world in need of rescue and protection",0,1
61,"this is not only a month of fasting and prayer but a month of giving for the sake of allah the prophet ï·º was always charitable and he never refused anyone who asked him for help but when ramadan came we are in urgent need of support we are working to establish a masjid and dawah center in ğŸ‡³ğŸ‡´ norway to spread knowledge about islam to give dawah and to strengthen the iman of our youth
ğƒğğğ“ ğŒğˆğ’ğ’ ğğ”ğ“  this month is the best time to give sadaqah
if ğ²ğ¨ğ® help us establish this masjid you will in sha get reward for all those who are
the reward for all these deeds and many more can be added to ğ˜ğğ”ğ‘ scale on the day of resurrection and all it takes is to help us establish this masjid ğƒğğâ€™ğ“ ğŒğˆğ’ğ’ ğğ”ğ“
 donate now",0,1
112,this giving tuesday please watch this video and consider supporting the important work undertaken by the maa trust all of these activities are only possible thanks to the generosity of our supporters every little helps and we are especially grateful to the regular monthly and annual supporters for those interested in supporting a needy child through the scholarship programme please contact,0,0
46,"in times of conflict itâ€™s imperative that we donâ€™t give up hope and that we remember those who have faced violent challenges on a local and global stage and stood up for peace and equality
thatâ€™s why this week weâ€™re highlighting european commission peace scholars who have fought for justice in their own way we hope their stories will inspire hope during this time of increasing conflict around the world
starting with achaleke leke and how he turned his experiences into a tool for supporting others",1,1
